cluster,gene
CXCL10+CCL19+ C11 Marginal,TAPBP
CXCL10+CCL19+ C11 Marginal,CCL7
CXCL10+CCL19+ C11 Marginal,IRF7
CXCL10+CCL19+ C11 Marginal,VAMP5
CXCL10+CCL19+ C11 Marginal,SERPINB9
CXCL10+CCL19+ C11 Marginal,NCOA7
CXCL10+CCL19+ C11 Marginal,CLIC2
CXCL10+CCL19+ C11 Marginal,BAALC
CXCL10+CCL19+ C11 Marginal,HAS2
CXCL10+CCL19+ C11 Marginal,TNFAIP6
CXCL10+CCL19+ C11 Marginal,BDKRB1
CXCL10+CCL19+ C11 Marginal,NPFFR2
CXCL10+CCL19+ C11 Marginal,LPAR4
CXCL10+CCL19+ C11 Marginal,TNFAIP8
CXCL10+CCL19+ C11 Marginal,RORB
CXCL10+CCL19+ C11 Marginal,FRZB
CXCL10+CCL19+ C11 Marginal,BTN3A3
CXCL10+CCL19+ C11 Marginal,S100A14
CXCL10+CCL19+ C11 Marginal,CBLN3
CXCL10+CCL19+ C11 Marginal,PAPLN
CXCL10+CCL19+ C11 Marginal,IFI27
CXCL10+CCL19+ C11 Marginal,TAP1
CXCL10+CCL19+ C11 Marginal,NFASC
CXCL10+CCL19+ C11 Marginal,CXCL16
CXCL10+CCL19+ C11 Marginal,PDCD1LG2
CXCL10+CCL19+ C11 Marginal,CRACD
CXCL10+CCL19+ C11 Marginal,ANKRD29
CXCL10+CCL19+ C11 Marginal,HFM1
CXCL10+CCL19+ C11 Marginal,IFI35
CXCL10+CCL19+ C11 Marginal,VANGL2
CXCL10+CCL19+ C11 Marginal,HLA-E
CXCL10+CCL19+ C11 Marginal,NCAM2
CXCL10+CCL19+ C11 Marginal,DDX58
CXCL10+CCL19+ C11 Marginal,TMEM229B
CXCL10+CCL19+ C11 Marginal,EGFLAM
CXCL10+CCL19+ C11 Marginal,ITGA8
CXCL10+CCL19+ C11 Marginal,EGFL6
CXCL10+CCL19+ C11 Marginal,SYNDIG1
CXCL10+CCL19+ C11 Marginal,SOCS3
CXCL10+CCL19+ C11 Marginal,ANK1
CXCL10+CCL19+ C11 Marginal,DEPP1
CXCL10+CCL19+ C11 Marginal,ITGB2
CXCL10+CCL19+ C11 Marginal,ADCY5
CXCL10+CCL19+ C11 Marginal,LGALS9
CXCL10+CCL19+ C11 Marginal,PIK3R3
CXCL10+CCL19+ C11 Marginal,ASPHD2
CXCL10+CCL19+ C11 Marginal,EPHB2
CXCL10+CCL19+ C11 Marginal,BTN3A1
CXCL10+CCL19+ C11 Marginal,CXCL1
CXCL10+CCL19+ C11 Marginal,GEM
CXCL10+CCL19+ C11 Marginal,LRCH1
CXCL10+CCL19+ C11 Marginal,DTNA
CXCL10+CCL19+ C11 Marginal,VWA5A
CXCL10+CCL19+ C11 Marginal,SH2D2A
CXCL10+CCL19+ C11 Marginal,TMEM140
CXCL10+CCL19+ C11 Marginal,FBXO6
CXCL10+CCL19+ C11 Marginal,MARCKSL1
CXCL10+CCL19+ C11 Marginal,NUAK2
CXCL10+CCL19+ C11 Marginal,CXCL13
CXCL10+CCL19+ C11 Marginal,SPIB
CXCL10+CCL19+ C11 Marginal,SUSD2
CXCL10+CCL19+ C11 Marginal,WTAP
CXCL10+CCL19+ C11 Marginal,ACOT7
CXCL10+CCL19+ C11 Marginal,MDFI
CXCL10+CCL19+ C11 Marginal,ATP8B4
CXCL10+CCL19+ C11 Marginal,ETHE1
CXCL10+CCL19+ C11 Marginal,C16orf89
CXCL10+CCL19+ C11 Marginal,DOCK10
CXCL10+CCL19+ C11 Marginal,LPAR1
CXCL10+CCL19+ C11 Marginal,RANBP3L
CXCL10+CCL19+ C11 Marginal,RAMP3
CXCL10+CCL19+ C11 Marginal,DDX60
CXCL10+CCL19+ C11 Marginal,HEYL
CXCL10+CCL19+ C11 Marginal,FGF7
CXCL10+CCL19+ C11 Marginal,ITPKC
CXCL10+CCL19+ C11 Marginal,MAP1LC3A
CXCL10+CCL19+ C11 Marginal,PKP2
CXCL10+CCL19+ C11 Marginal,OSMR
CXCL10+CCL19+ C11 Marginal,RHEBL1
CXCL10+CCL19+ C11 Marginal,IFITM3
CXCL10+CCL19+ C11 Marginal,SLC15A3
CXCL10+CCL19+ C11 Marginal,PLSCR1
CXCL10+CCL19+ C11 Marginal,FAS
CXCL10+CCL19+ C11 Marginal,IFITM1
CXCL10+CCL19+ C11 Marginal,MARCKS
CXCL10+CCL19+ C11 Marginal,OLFM2
CXCL10+CCL19+ C11 Marginal,ST6GAL1
CXCL10+CCL19+ C11 Marginal,TMEM176B
CXCL10+CCL19+ C11 Marginal,PARP9
CXCL10+CCL19+ C11 Marginal,ANKRD2
CXCL10+CCL19+ C11 Marginal,AIM2
CXCL10+CCL19+ C11 Marginal,PLCXD3
CXCL10+CCL19+ C11 Marginal,GMPR
CXCL10+CCL19+ C11 Marginal,ROR1
CXCL10+CCL19+ C11 Marginal,MX2
CXCL10+CCL19+ C11 Marginal,GNA14
CXCL10+CCL19+ C11 Marginal,TNFRSF10B
CXCL10+CCL19+ C11 Marginal,DPYS
CXCL10+CCL19+ C11 Marginal,KLHL5
CXCL10+CCL19+ C11 Marginal,C1S
CXCL10+CCL19+ C11 Marginal,CCL11
CXCL10+CCL19+ C11 Marginal,FTH1
CXCL10+CCL19+ C11 Marginal,SFRP2
CXCL10+CCL19+ C11 Marginal,ANK2
CXCL10+CCL19+ C11 Marginal,ST8SIA1
CXCL10+CCL19+ C11 Marginal,FOXS1
CXCL10+CCL19+ C11 Marginal,HLA-A
CXCL10+CCL19+ C11 Marginal,PPIF
CXCL10+CCL19+ C11 Marginal,RNF207
CXCL10+CCL19+ C11 Marginal,ISG20
CXCL10+CCL19+ C11 Marginal,BATF3
CXCL10+CCL19+ C11 Marginal,LACC1
CXCL10+CCL19+ C11 Marginal,ASB13
CXCL10+CCL19+ C11 Marginal,SLC7A7
CXCL10+CCL19+ C11 Marginal,TAPBPL
CXCL10+CCL19+ C11 Marginal,CSF1
CXCL10+CCL19+ C11 Marginal,PRKAA2
CXCL10+CCL19+ C11 Marginal,EGFL7
CXCL10+CCL19+ C11 Marginal,GXYLT2
CXCL10+CCL19+ C11 Marginal,ID4
CXCL10+CCL19+ C11 Marginal,PDLIM3
CXCL10+CCL19+ C11 Marginal,RBM11
CXCL10+CCL19+ C11 Marginal,BBC3
CXCL10+CCL19+ C11 Marginal,DPT
CXCL10+CCL19+ C11 Marginal,PKNOX2
CXCL10+CCL19+ C11 Marginal,IFI30
CXCL10+CCL19+ C11 Marginal,CHRDL2
CXCL10+CCL19+ C11 Marginal,C11orf53
CXCL10+CCL19+ C11 Marginal,GGH
CXCL10+CCL19+ C11 Marginal,PML
CXCL10+CCL19+ C11 Marginal,STK17B
CXCL10+CCL19+ C11 Marginal,CCDC28B
CXCL10+CCL19+ C11 Marginal,IRX6
CXCL10+CCL19+ C11 Marginal,ZC3H12A
CXCL10+CCL19+ C11 Marginal,SPATA12
CXCL10+CCL19+ C11 Marginal,IL11RA
CXCL10+CCL19+ C11 Marginal,PLA2G4C
CXCL10+CCL19+ C11 Marginal,CYGB
CXCL10+CCL19+ C11 Marginal,GPR68
CXCL10+CCL19+ C11 Marginal,TXLNB
CXCL10+CCL19+ C11 Marginal,E2F3
CXCL10+CCL19+ C11 Marginal,FRMD6
CXCL10+CCL19+ C11 Marginal,ODF3B
CXCL10+CCL19+ C11 Marginal,HS3ST3A1
CXCL10+CCL19+ C11 Marginal,CASP1
CXCL10+CCL19+ C11 Marginal,LAPTM5
CXCL10+CCL19+ C11 Marginal,MMRN2
CXCL10+CCL19+ C11 Marginal,NDRG2
CXCL10+CCL19+ C11 Marginal,SHB
CXCL10+CCL19+ C11 Marginal,TOP1MT
CXCL10+CCL19+ C11 Marginal,PPP1R18
CXCL10+CCL19+ C11 Marginal,IL6ST
CXCL10+CCL19+ C11 Marginal,EGR3
CXCL10+CCL19+ C11 Marginal,IQSEC3
