cluster,gene
c04,GALNT10
c04,RPS27L
c04,ROR2
c04,SURF4
c04,P4HA1
c04,SEC61G
c04,ANGPTL2
c04,MYL12A
c04,PDPN
c04,RPL28
c04,SMYD3
c04,CASC4
c04,ZBED1
c04,PARVA
c04,PDLIM3
c04,PFN1
c04,COLGALT1
c04,C12orf75
c04,SGCD
c04,ATP5MD
c04,YIF1A
c04,COL15A1
c04,PLS3
c04,GAS6
c04,ATOX1
c04,FNDC3B
c04,ATP5MC1
c04,SEC23A
c04,TNC
c04,ARHGAP1
c04,SH3BGRL3
c04,P4HA3
c04,MT-ATP6
c04,NBDY
c04,MCRIP1
c04,REX1BD
c04,JTB
c04,SELENOF
c04,ETV1
c04,ABRACL
c04,COPZ2
c04,MAN2A1
c04,WNK1
c04,SOX4
c04,PTPN14
c04,C1orf198
c04,KIAA0930
c04,SGIP1
c04,ATP5PD
c04,NXN
c05,MFAP5
c05,CLEC3B
c05,IGFBP6
c05,CFD
c05,PI16
c05,GSN
c05,TNXB
c05,PCOLCE2
c05,EFEMP1
c05,S100A10
c05,FBN1
c05,SLPI
c05,PLA2G2A
c05,DCN
c05,FBLN2
c05,CCDC80
c05,CD55
c05,PLAC9
c05,CST3
c05,FSTL1
c05,MGST1
c05,FBLN1
c05,C1QTNF3
c05,CD248
c05,ACKR3
c05,WISP2
c05,SEMA3C
c05,SFRP4
c05,DPT
c05,ADH1B
c05,S100A4
c05,SCARA5
c05,PTGIS
c05,C3
c05,CD34
c05,TPPP3
c05,SH3BGRL3
c05,OGN
c05,MFAP4
c05,KLF4
c05,LTBP4
c05,S100A6
c05,GPNMB
c05,RARRES1
c05,ANXA2
c05,EMP3
c05,CHRDL1
c05,ANXA1
c05,CILP
c05,UAP1
c05,AC090498.1
c05,PDGFRL
c05,CADM3
c05,ITM2A
c05,OSR2
c05,TGFBR3
c05,FHL1
c05,CRIP1
c05,ABI3BP
c05,F10
c05,RAMP2
c05,PROCR
c05,SFRP2
c05,UGDH
c05,SERPINF1
c05,DBN1
c05,CLU
c05,LSP1
c05,LINC01133
c05,RP11-14N7.2
c05,LRRN4CL
c05,ADAMTS5
c05,PODN
c05,CYBRD1
c05,HSPB6
c05,ELN
c05,ABLIM1
c05,LEPR
c05,PRELP
c05,AHNAK
c05,ADD3
c05,VAT1
c05,ZNF385A
c05,HTRA3
c05,HSD3B7
c05,MGP
c05,PAMR1
c05,DDAH2
c05,ISLR
c05,IGF2
c05,PIGT
c05,PTRF
c05,PRSS23
c05,S100A13
c05,PPIC
c05,ADAMTSL4
c05,PMP22
c05,CREB5
c05,REXO2
c05,AHNAK2
c05,CRABP2
c05,CELF2
c05,ANXA4
c05,C1R
c05,HIGD1A
c05,TRAC
c05,SDCBP
c05,PLPP3
c05,NOVA1
c05,OMD
c05,PTHLH
c05,ADM
c05,GPX4
c05,NT5E
c05,ZFP36
c05,SMIM14
c05,CD99
c05,RNASE4
c05,RHOB
c05,ARL6IP5
c05,HSPB8
c05,LIMA1
c05,SEMA3B
c05,EMP1
c05,ANGPTL2
c05,BIN1
c05,ANK2
c05,FCGRT
c05,AOX1
c05,AKR1C3
c05,OLFML3
c05,GPX3
c05,FGL2
c05,CDKN1A
c05,C10orf54
c05,RNH1
c05,PCOLCE
c05,IGFBP5
c05,ZFP36L2
c05,C16orf89
c05,LGALS3
c05,GAS7
c05,GFPT2
c05,SDC2
c05,PAM
c05,SERPING1
c05,PPL
c05,SERPINE2
c05,SVEP1
c05,DCLK1
c05,ECM1
c05,GRN
c05,MMP23B
c05,TNFAIP2
c05,CPQ
c05,CBR3
c05,ANGPTL1
c05,MEDAG
c05,SLIT3
c05,PLTP
c05,MYC
c05,LMNA
c05,C1S
c05,RAB32
c05,PSAP
c05,FXYD1
c05,RHOA
c05,PLD3
c05,LHFP
c05,FAM46A
c05,SFRP1
c05,PRKCDBP
c05,NFIA
c05,MMP2
c05,TGFBR2
c05,CLTB
c05,GPRC5A
c05,LOXL1
c05,HEXB
c05,S100A11
c05,GYPC
c05,THBS3
c05,EBF1
c05,APP
c05,PLPP1
c05,TWIST2
c05,C17orf58
c05,LRP1
c05,CCDC109B
c05,ITIH5
c05,TIMP2
c05,SOD3
c05,PALM
c05,ADGRD1
c05,LDHA
c05,SPTBN1
c05,CLDN11
c05,CFH
c05,MYADM
c05,USP53
c05,PTGES
c05,FAM127A
c05,GALNT15
c05,NFIB
c05,CD9
c05,RTN4
c05,DHRS3
c05,TPST1
c05,EEF1G
c05,ARL4D
c05,COL14A1
c05,TSPAN4
c05,ITM2B
c05,EMILIN2
c05,CTSH
c05,SSC5D
c05,PID1
c05,GAS1
c05,TRIP10
c05,CAB39L
c05,CTSF
c05,C1orf21
c05,GLIPR2
c05,GABARAP
c05,AP3S1
c05,ALDH1A3
c05,PLP2
